loss,accuracy,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,summary/epoch/0,summary/train_loss/0,summary/train_acc/0,summary/val_loss/0,summary/val_acc/0
2.3881711732773554,0.22620904836193448,1713029933,checkpoint_000000,True,False,1,8d8f0_00002,2024-04-13_17-38-56,112.32616424560547,112.32616424560547,63099,20096fd824e4,172.28.0.12,112.32616424560547,1,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
2.2591825269517445,0.21996879875195008,1713030014,checkpoint_000001,True,False,2,8d8f0_00002,2024-04-13_17-40-16,80.32213521003723,192.6482994556427,63099,20096fd824e4,172.28.0.12,192.6482994556427,2,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
2.344001747313,0.27769110764430577,1713030095,checkpoint_000002,True,False,3,8d8f0_00002,2024-04-13_17-41-45,88.41109466552734,281.05939412117004,63099,20096fd824e4,172.28.0.12,281.05939412117004,3,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
4.574619622457595,0.30577223088923555,1713030183,checkpoint_000003,True,False,4,8d8f0_00002,2024-04-13_17-43-05,80.35646319389343,361.4158573150635,63099,20096fd824e4,172.28.0.12,361.4158573150635,4,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
2.797351456823803,0.2948517940717629,1713030264,checkpoint_000004,True,False,5,8d8f0_00002,2024-04-13_17-44-29,83.51567101478577,444.93152832984924,63099,20096fd824e4,172.28.0.12,444.93152832984924,5,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
2.081296409879412,0.3073322932917317,1713030348,checkpoint_000005,True,False,6,8d8f0_00002,2024-04-13_17-45-55,86.8074266910553,531.7389550209045,63099,20096fd824e4,172.28.0.12,531.7389550209045,6,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
2.4960152364912487,0.35101404056162244,1713030435,checkpoint_000006,True,False,7,8d8f0_00002,2024-04-13_17-47-17,81.88526391983032,613.6242189407349,63099,20096fd824e4,172.28.0.12,613.6242189407349,7,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
6.957043210665385,0.25585023400936036,1713030516,checkpoint_000007,True,False,8,8d8f0_00002,2024-04-13_17-48-40,83.14905166625977,696.7732706069946,63099,20096fd824e4,172.28.0.12,696.7732706069946,8,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
2.761292116982596,0.21996879875195008,1713030600,checkpoint_000008,True,False,9,8d8f0_00002,2024-04-13_17-50-05,84.21435856819153,780.9876291751862,63099,20096fd824e4,172.28.0.12,780.9876291751862,9,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
3.1114568540028165,0.24960998439937598,1713030685,checkpoint_000009,True,False,10,8d8f0_00002,2024-04-13_17-51-27,82.27549362182617,863.2631227970123,63099,20096fd824e4,172.28.0.12,863.2631227970123,10,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
1.9205138513020106,0.35257410296411856,1713030767,checkpoint_000010,True,False,11,8d8f0_00002,2024-04-13_17-52-49,82.32439470291138,945.5875174999237,63099,20096fd824e4,172.28.0.12,945.5875174999237,11,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
2.1949062120346796,0.2714508580343214,1713030848,checkpoint_000011,True,False,12,8d8f0_00002,2024-04-13_17-54-10,80.92511248588562,1026.5126299858093,63099,20096fd824e4,172.28.0.12,1026.5126299858093,12,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
2.1602944220815385,0.35257410296411856,1713030931,checkpoint_000012,True,False,13,8d8f0_00002,2024-04-13_17-55-33,82.57946443557739,1109.0920944213867,63099,20096fd824e4,172.28.0.12,1109.0920944213867,13,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
1.992544861066909,0.34789391575663026,1713031012,checkpoint_000013,True,False,14,8d8f0_00002,2024-04-13_17-56-57,83.84294247627258,1192.9350368976593,63099,20096fd824e4,172.28.0.12,1192.9350368976593,14,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
1.8324868451981318,0.39001560062402496,1713031097,checkpoint_000014,True,False,15,8d8f0_00002,2024-04-13_17-58-19,82.12730741500854,1275.0623443126678,63099,20096fd824e4,172.28.0.12,1275.0623443126678,15,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
1.9719389081001282,0.38065522620904835,1713031179,checkpoint_000015,True,False,16,8d8f0_00002,2024-04-13_17-59-43,84.03908658027649,1359.1014308929443,63099,20096fd824e4,172.28.0.12,1359.1014308929443,16,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
1.9195810102281117,0.3619344773790952,1713031264,checkpoint_000016,True,False,17,8d8f0_00002,2024-04-13_18-01-06,82.73375988006592,1441.8351907730103,63099,20096fd824e4,172.28.0.12,1441.8351907730103,17,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
2.306855457169669,0.27769110764430577,1713031346,checkpoint_000017,True,False,18,8d8f0_00002,2024-04-13_18-02-32,85.73025321960449,1527.5654439926147,63099,20096fd824e4,172.28.0.12,1527.5654439926147,18,1.0,2.6790392166230736,0.16705698672911787,2.3881711732773554,0.22620904836193448
