loss,accuracy,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,summary/epoch/0,summary/train_loss/0,summary/train_acc/0,summary/val_loss/0,summary/val_acc/0
399.37805862426757,0.08125,1713032744,checkpoint_000000,True,False,1,07f9a_00000,2024-04-13_18-25-45,81.23187971115112,81.23187971115112,82294,31b6d15afa2d,172.28.0.12,81.23187971115112,1,1.0,4.476056878159686,0.1029641185647426,399.37805862426757,0.08125
2.4959876775741576,0.1296875,1713032815,checkpoint_000001,True,False,2,07f9a_00000,2024-04-13_18-26-55,70.36972403526306,151.60160374641418,82294,31b6d15afa2d,172.28.0.12,151.60160374641418,2,1.0,4.476056878159686,0.1029641185647426,399.37805862426757,0.08125
2.4640876173973085,0.1625,1713032885,checkpoint_000002,True,False,3,07f9a_00000,2024-04-13_18-28-06,70.23906922340393,221.84067296981812,82294,31b6d15afa2d,172.28.0.12,221.84067296981812,3,1.0,4.476056878159686,0.1029641185647426,399.37805862426757,0.08125
2.2902310848236085,0.175,1713032956,checkpoint_000003,True,False,4,07f9a_00000,2024-04-13_18-29-16,70.83362221717834,292.67429518699646,82294,31b6d15afa2d,172.28.0.12,292.67429518699646,4,1.0,4.476056878159686,0.1029641185647426,399.37805862426757,0.08125
2.2918198466300965,0.203125,1713033028,checkpoint_000004,True,False,5,07f9a_00000,2024-04-13_18-30-28,71.75599884986877,364.43029403686523,82294,31b6d15afa2d,172.28.0.12,364.43029403686523,5,1.0,4.476056878159686,0.1029641185647426,399.37805862426757,0.08125
2.1383101880550384,0.2234375,1713033099,checkpoint_000005,True,False,6,07f9a_00000,2024-04-13_18-31-40,71.29054522514343,435.72083926200867,82294,31b6d15afa2d,172.28.0.12,435.72083926200867,6,1.0,4.476056878159686,0.1029641185647426,399.37805862426757,0.08125
2.1449621498584746,0.2546875,1713033170,checkpoint_000006,True,False,7,07f9a_00000,2024-04-13_18-32-51,71.227956533432,506.9487957954407,82294,31b6d15afa2d,172.28.0.12,506.9487957954407,7,1.0,4.476056878159686,0.1029641185647426,399.37805862426757,0.08125
2.139287668466568,0.221875,1713033241,checkpoint_000007,True,False,8,07f9a_00000,2024-04-13_18-34-02,70.68591618537903,577.6347119808197,82294,31b6d15afa2d,172.28.0.12,577.6347119808197,8,1.0,4.476056878159686,0.1029641185647426,399.37805862426757,0.08125
2.152998238801956,0.215625,1713033312,checkpoint_000008,True,False,9,07f9a_00000,2024-04-13_18-35-13,71.14195537567139,648.7766673564911,82294,31b6d15afa2d,172.28.0.12,648.7766673564911,9,1.0,4.476056878159686,0.1029641185647426,399.37805862426757,0.08125
2.3548502922058105,0.1734375,1713033383,checkpoint_000009,True,False,10,07f9a_00000,2024-04-13_18-36-24,71.15909457206726,719.9357619285583,82294,31b6d15afa2d,172.28.0.12,719.9357619285583,10,1.0,4.476056878159686,0.1029641185647426,399.37805862426757,0.08125
