epoch,train_loss,train_acc,val_loss,val_acc
1.0,4.476056878159686,0.1029641185647426,399.37805862426757,0.08125
2.0,2.597871134920818,0.14118564742589704,2.4959876775741576,0.1296875
3.0,2.408451760687479,0.15132605304212168,2.4640876173973085,0.1625
4.0,2.364418023970069,0.16536661466458658,2.2902310848236085,0.175
5.0,2.234209144987711,0.1794071762870515,2.2918198466300965,0.203125
6.0,2.1906824228240223,0.22074882995319814,2.1383101880550384,0.2234375
7.0,2.1273627223038094,0.26365054602184085,2.1449621498584746,0.2546875
8.0,2.10567816001613,0.265990639625585,2.139287668466568,0.221875
9.0,2.0496244721296355,0.26053042121684866,2.152998238801956,0.215625
10.0,2.118756355308905,0.28081123244929795,2.3548502922058105,0.1734375
