loss,accuracy,trial_id,time_total_s,outer_fold,inner_fold
2.839263121287028,0.3915756630265211,6df97_00000,1531.4144668579102,1,0
2.251570224761963,0.3790951638065523,5d361_00003,1407.8801651000977,2,1
2.0427143394947054,0.3578125,04ddc_00000,709.9570510387421,0,2
3.019495129585266,0.35,e8be0_00000,1515.0054013729095,3,2
1.960825795477087,0.3291731669266771,ccff1_00002,346.0731213092804,0,0
2.9056140899658205,0.3265625,a9418_00000,1386.6890754699707,0,1
2.1179472037724087,0.3198127925117004,340bf_00003,293.6878314018249,2,0
2.061532896757126,0.2671875,fc155_00000,1462.2820661067965,1,2
2.3191578149795533,0.265625,51d1e_00000,360.8975601196289,1,1
2.1245718002319336,0.2542901716068643,50b8f_00000,1580.0065505504608,3,1
2.263784033911569,0.2308892355694227,5b9ca_00001,754.6764709949493,4,1
2.2403875589370728,0.2171875,b1831_00001,752.084625005722,4,2
2.6754898699847134,0.2090483619344773,4743a_00003,397.6359524726868,4,0
2.3548502922058105,0.1734375,07f9a_00000,719.9357619285583,2,2
2.406162457032637,0.1419656786271451,132f3_00000,378.62033891677856,3,0
